02_129_129_1000_UDS_08
RE: 1000.000000
ITERACTIONS: 3000
VARIABLES = "X", "Y", "U", "V", "P"
0.290698,0.003876,-0.001381,0.000043,-0.000126
0.298450,0.003876,-0.001449,0.000043,-0.000131
0.306202,0.003876,-0.001516,0.000042,-0.000135
0.313953,0.003876,-0.001582,0.000041,-0.000139
0.321705,0.003876,-0.001646,0.000040,-0.000141
0.329457,0.003876,-0.001709,0.000039,-0.000143
0.337209,0.003876,-0.001769,0.000038,-0.000143
0.344961,0.003876,-0.001829,0.000036,-0.000143
0.352713,0.003876,-0.001886,0.000035,-0.000142
0.360465,0.003876,-0.001940,0.000034,-0.000141
0.368217,0.003876,-0.001993,0.000032,-0.000138
0.375969,0.003876,-0.002043,0.000031,-0.000135
0.383721,0.003876,-0.002091,0.000029,-0.000131
0.391473,0.003876,-0.002136,0.000028,-0.000126
0.399225,0.003876,-0.002179,0.000026,-0.000121
0.406977,0.003876,-0.002218,0.000024,-0.000115
0.414729,0.003876,-0.002255,0.000022,-0.000109
0.422481,0.003876,-0.002289,0.000020,-0.000102
0.430233,0.003876,-0.002320,0.000018,-0.000094
0.437984,0.003876,-0.002347,0.000017,-0.000086
0.445736,0.003876,-0.002372,0.000015,-0.000078
0.453488,0.003876,-0.002393,0.000013,-0.000069
0.461240,0.003876,-0.002411,0.000011,-0.000060
0.468992,0.003876,-0.002426,0.000008,-0.000051
0.476744,0.003876,-0.002438,0.000006,-0.000041
0.484496,0.003876,-0.002446,0.000004,-0.000031
0.492248,0.003876,-0.002451,0.000002,-0.000021
0.500000,0.003876,-0.002452,0.000000,-0.000010
0.507752,0.003876,-0.002450,-0.000002,0.000000
0.515504,0.003876,-0.002445,-0.000004,0.000011
0.523256,0.003876,-0.002436,-0.000006,0.000021
0.531008,0.003876,-0.002424,-0.000008,0.000032
0.538760,0.003876,-0.002409,-0.000010,0.000042
0.546512,0.003876,-0.002391,-0.000013,0.000053
0.554264,0.003876,-0.002369,-0.000015,0.000063
0.562016,0.003876,-0.002344,-0.000017,0.000073
0.569767,0.003876,-0.002316,-0.000019,0.000083
0.577519,0.003876,-0.002285,-0.000021,0.000093
0.585271,0.003876,-0.002250,-0.000023,0.000102
0.593023,0.003876,-0.002213,-0.000025,0.000111
0.600775,0.003876,-0.002173,-0.000026,0.000120
0.608527,0.003876,-0.002130,-0.000028,0.000128
0.616279,0.003876,-0.002085,-0.000030,0.000136
0.624031,0.003876,-0.002037,-0.000032,0.000143
0.631783,0.003876,-0.001986,-0.000034,0.000150
0.639535,0.003876,-0.001933,-0.000035,0.000156
0.647287,0.003876,-0.001878,-0.000037,0.000162
0.655039,0.003876,-0.001821,-0.000038,0.000167
0.662791,0.003876,-0.001762,-0.000040,0.000171
0.670543,0.003876,-0.001701,-0.000041,0.000175
0.678295,0.003876,-0.001638,-0.000042,0.000178
0.686047,0.003876,-0.001573,-0.000044,0.000181
0.693798,0.003876,-0.001507,-0.000045,0.000182
0.701550,0.003876,-0.001440,-0.000046,0.000183
0.709302,0.003876,-0.001372,-0.000047,0.000183
0.717054,0.003876,-0.001303,-0.000048,0.000183
0.724806,0.003876,-0.001234,-0.000048,0.000181
0.732558,0.003876,-0.001164,-0.000049,0.000179
0.740310,0.003876,-0.001093,-0.000049,0.000176
0.748062,0.003876,-0.001023,-0.000050,0.000172
0.755814,0.003876,-0.000953,-0.000050,0.000168
0.763566,0.003876,-0.000882,-0.000050,0.000162
0.771318,0.003876,-0.000813,-0.000050,0.000156
0.779070,0.003876,-0.000744,-0.000050,0.000149
0.786822,0.003876,-0.000677,-0.000050,0.000141
0.794574,0.003876,-0.000610,-0.000050,0.000132
0.802326,0.003876,-0.000545,-0.000050,0.000123
0.810078,0.003876,-0.000482,-0.000049,0.000113
0.817829,0.003876,-0.000421,-0.000048,0.000102
0.825581,0.003876,-0.000362,-0.000048,0.000091
0.833333,0.003876,-0.000305,-0.000047,0.000079
0.841085,0.003876,-0.000251,-0.000046,0.000066
0.848837,0.003876,-0.000200,-0.000044,0.000054
0.856589,0.003876,-0.000152,-0.000043,0.000040
0.864341,0.003876,-0.000108,-0.000041,0.000027
0.872093,0.003876,-0.000068,-0.000040,0.000013
0.879845,0.003876,-0.000031,-0.000038,-0.000001
0.887597,0.003876,0.000002,-0.000036,-0.000015
0.895349,0.003876,0.000030,-0.000034,-0.000029
0.903101,0.003876,0.000054,-0.000032,-0.000043
0.910853,0.003876,0.000073,-0.000030,-0.000056
0.918605,0.003876,0.000088,-0.000028,-0.000069
0.926357,0.003876,0.000097,-0.000026,-0.000081
0.934109,0.003876,0.000102,-0.000023,-0.000093
0.941860,0.003876,0.000102,-0.000021,-0.000103
0.949612,0.003876,0.000098,-0.000019,-0.000112
0.957364,0.003876,0.000089,-0.000017,-0.000120
0.965116,0.003876,0.000076,-0.000015,-0.000126
0.972868,0.003876,0.000060,-0.000014,-0.000130
0.980620,0.003876,0.000040,-0.000012,-0.000132
0.988372,0.003876,0.000018,-0.000011,-0.000131
0.996124,0.003876,0.000003,-0.000009,-0.000125
0.003876,0.011628,0.000013,-0.000001,0.000402
0.011628,0.011628,0.000043,-0.000005,0.000401
0.019380,0.011628,0.000079,-0.000006,0.000397
0.027132,0.011628,0.000114,-0.000003,0.000391
0.034884,0.011628,0.000144,0.000003,0.000383
0.042636,0.011628,0.000168,0.000011,0.000373
0.050388,0.011628,0.000182,0.000021,0.000361
0.058140,0.011628,0.000185,0.000032,0.000347
0.065891,0.011628,0.000175,0.000043,0.000332
0.073643,0.011628,0.000153,0.000055,0.000316
0.081395,0.011628,0.000118,0.000067,0.000299
0.089147,0.011628,0.000069,0.000078,0.000281
0.096899,0.011628,0.000008,0.000090,0.000262
0.104651,0.011628,-0.000067,0.000101,0.000243
0.112403,0.011628,-0.000153,0.000112,0.000224
0.120155,0.011628,-0.000252,0.000122,0.000204
0.127907,0.011628,-0.000363,0.000132,0.000185
0.135659,0.011628,-0.000484,0.000141,0.000165
0.143411,0.011628,-0.000615,0.000149,0.000145
0.151163,0.011628,-0.000756,0.000157,0.000126
0.158915,0.011628,-0.000907,0.000165,0.000107
0.166667,0.011628,-0.001065,0.000171,0.000089
0.174419,0.011628,-0.001231,0.000177,0.000071
0.182171,0.011628,-0.001404,0.000183,0.000054
0.189922,0.011628,-0.001583,0.000188,0.000037
0.197674,0.011628,-0.001768,0.000192,0.000021
0.205426,0.011628,-0.001958,0.000196,0.000005
0.213178,0.011628,-0.002151,0.000198,-0.000010
0.220930,0.011628,-0.002348,0.000201,-0.000024
0.228682,0.011628,-0.002548,0.000203,-0.000037
0.236434,0.011628,-0.002750,0.000204,-0.000049
0.244186,0.011628,-0.002954,0.000204,-0.000061
0.251938,0.011628,-0.003158,0.000204,-0.000071
0.259690,0.011628,-0.003363,0.000204,-0.000081
0.267442,0.011628,-0.003567,0.000203,-0.000090
0.275194,0.011628,-0.003770,0.000201,-0.000098
0.282946,0.011628,-0.003972,0.000199,-0.000105
0.290698,0.011628,-0.004172,0.000196,-0.000111
0.298450,0.011628,-0.004369,0.000193,-0.000116
0.306202,0.011628,-0.004563,0.000190,-0.000121
0.313953,0.011628,-0.004753,0.000186,-0.000125
0.321705,0.011628,-0.004940,0.000181,-0.000127
0.329457,0.011628,-0.005121,0.000177,-0.000129
0.337209,0.011628,-0.005298,0.000171,-0.000130
0.344961,0.011628,-0.005469,0.000166,-0.000131
0.352713,0.011628,-0.005634,0.000160,-0.000130
0.360465,0.011628,-0.005794,0.000154,-0.000129
0.368217,0.011628,-0.005946,0.000147,-0.000127
0.375969,0.011628,-0.006092,0.000140,-0.000124
0.383721,0.011628,-0.006230,0.000133,-0.000121
0.391473,0.011628,-0.006361,0.000125,-0.000117
0.399225,0.011628,-0.006484,0.000117,-0.000112
0.406977,0.011628,-0.006599,0.000109,-0.000107
0.414729,0.011628,-0.006705,0.000101,-0.000101
0.422481,0.011628,-0.006803,0.000093,-0.000095
0.430233,0.011628,-0.006892,0.000084,-0.000088
0.437984,0.011628,-0.006972,0.000075,-0.000081
0.445736,0.011628,-0.007043,0.000066,-0.000073
0.453488,0.011628,-0.007105,0.000057,-0.000065
0.461240,0.011628,-0.007157,0.000048,-0.000056
0.468992,0.011628,-0.007200,0.000038,-0.000048
0.476744,0.011628,-0.007233,0.000029,-0.000039
0.484496,0.011628,-0.007256,0.000019,-0.000029
0.492248,0.011628,-0.007270,0.000010,-0.000020
0.500000,0.011628,-0.007274,0.000000,-0.000010
0.507752,0.011628,-0.007268,-0.000009,-0.000001
0.515504,0.011628,-0.007252,-0.000019,0.000009
0.523256,0.011628,-0.007227,-0.000028,0.000019
0.531008,0.011628,-0.007192,-0.000038,0.000029
0.538760,0.011628,-0.007147,-0.000047,0.000039
0.546512,0.011628,-0.007093,-0.000057,0.000048
0.554264,0.011628,-0.007030,-0.000066,0.000058
0.562016,0.011628,-0.006957,-0.000075,0.000067
0.569767,0.011628,-0.006875,-0.000085,0.000077
0.577519,0.011628,-0.006784,-0.000093,0.000086
0.585271,0.011628,-0.006684,-0.000102,0.000094
0.593023,0.011628,-0.006576,-0.000111,0.000103
0.600775,0.011628,-0.006460,-0.000119,0.000111
0.608527,0.011628,-0.006335,-0.000127,0.000118
0.616279,0.011628,-0.006203,-0.000135,0.000126
0.624031,0.011628,-0.006063,-0.000143,0.000132
0.631783,0.011628,-0.005916,-0.000151,0.000139
0.639535,0.011628,-0.005762,-0.000158,0.000145
0.647287,0.011628,-0.005601,-0.000165,0.000150
0.655039,0.011628,-0.005435,-0.000171,0.000155
0.662791,0.011628,-0.005262,-0.000177,0.000159
0.670543,0.011628,-0.005085,-0.000183,0.000162
0.678295,0.011628,-0.004902,-0.000189,0.000165
0.686047,0.011628,-0.004715,-0.000194,0.000167
0.693798,0.011628,-0.004524,-0.000198,0.000169
0.701550,0.011628,-0.004329,-0.000202,0.000169
0.709302,0.011628,-0.004131,-0.000206,0.000169
0.717054,0.011628,-0.003931,-0.000210,0.000169
0.724806,0.011628,-0.003729,-0.000212,0.000167
0.732558,0.011628,-0.003525,-0.000215,0.000165
0.740310,0.011628,-0.003321,-0.000217,0.000162
0.748062,0.011628,-0.003116,-0.000218,0.000158
0.755814,0.011628,-0.002911,-0.000219,0.000154
0.763566,0.011628,-0.002708,-0.000219,0.000148
0.771318,0.011628,-0.002506,-0.000219,0.000142
0.779070,0.011628,-0.002306,-0.000218,0.000136
0.786822,0.011628,-0.002109,-0.000216,0.000128
0.794574,0.011628,-0.001916,-0.000214,0.000120
0.802326,0.011628,-0.001727,-0.000211,0.000111
0.810078,0.011628,-0.001543,-0.000208,0.000102
0.817829,0.011628,-0.001364,-0.000204,0.000091
0.825581,0.011628,-0.001192,-0.000200,0.000081
0.833333,0.011628,-0.001027,-0.000195,0.000070
0.841085,0.011628,-0.000869,-0.000189,0.000058
0.848837,0.011628,-0.000720,-0.000182,0.000046
0.856589,0.011628,-0.000580,-0.000175,0.000033
0.864341,0.011628,-0.000449,-0.000168,0.000020
0.872093,0.011628,-0.000329,-0.000159,0.000008
0.879845,0.011628,-0.000219,-0.000151,-0.000005
0.887597,0.011628,-0.000121,-0.000141,-0.000018
0.895349,0.011628,-0.000035,-0.000132,-0.000031
0.903101,0.011628,0.000039,-0.000122,-0.000044
0.910853,0.011628,0.000099,-0.000111,-0.000056
0.918605,0.011628,0.000147,-0.000100,-0.000068
0.926357,0.011628,0.000182,-0.000090,-0.000079
0.934109,0.011628,0.000204,-0.000079,-0.000090
0.941860,0.011628,0.000213,-0.000068,-0.000099
0.949612,0.011628,0.000209,-0.000058,-0.000107
0.957364,0.011628,0.000194,-0.000049,-0.000114
0.965116,0.011628,0.000169,-0.000040,-0.000119
0.972868,0.011628,0.000135,-0.000033,-0.000122
0.980620,0.011628,0.000094,-0.000028,-0.000124
0.988372,0.011628,0.000048,-0.000023,-0.000123
0.996124,0.011628,0.000013,-0.000020,-0.000118
0.003876,0.019380,0.000017,-0.000013,0.000398
0.011628,0.019380,0.000056,-0.000023,0.000397
0.019380,0.019380,0.000100,-0.000024,0.000394
0.027132,0.019380,0.000141,-0.000016,0.000388
0.034884,0.019380,0.000175,-0.000002,0.000380
0.042636,0.019380,0.000198,0.000018,0.000370
0.050388,0.019380,0.000205,0.000041,0.000359
0.058140,0.019380,0.000196,0.000067,0.000346
0.065891,0.019380,0.000168,0.000095,0.000332
0.073643,0.019380,0.000120,0.000123,0.000316
0.081395,0.019380,0.000053,0.000152,0.000300
0.089147,0.019380,-0.000035,0.000180,0.000283
0.096899,0.019380,-0.000143,0.000209,0.000265
0.104651,0.019380,-0.000271,0.000236,0.000247
0.112403,0.019380,-0.000418,0.000263,0.000228
0.120155,0.019380,-0.000584,0.000288,0.000210
0.127907,0.019380,-0.000768,0.000312,0.000191
0.135659,0.019380,-0.000969,0.000335,0.000172
0.143411,0.019380,-0.001186,0.000356,0.000153
0.151163,0.019380,-0.001419,0.000376,0.000135
0.158915,0.019380,-0.001665,0.000395,0.000117
0.166667,0.019380,-0.001925,0.000412,0.000099
0.174419,0.019380,-0.002197,0.000427,0.000081
0.182171,0.019380,-0.002479,0.000441,0.000064
0.189922,0.019380,-0.002772,0.000453,0.000048
0.197674,0.019380,-0.003073,0.000464,0.000032
0.205426,0.019380,-0.003382,0.000473,0.000017
0.213178,0.019380,-0.003697,0.000481,0.000003
0.220930,0.019380,-0.004018,0.000487,-0.000011
0.228682,0.019380,-0.004343,0.000492,-0.000024
0.236434,0.019380,-0.004672,0.000495,-0.000036
0.244186,0.019380,-0.005003,0.000497,-0.000047
0.251938,0.019380,-0.005335,0.000497,-0.000058
0.259690,0.019380,-0.005667,0.000496,-0.000067
0.267442,0.019380,-0.005999,0.000494,-0.000076
0.275194,0.019380,-0.006329,0.000490,-0.000084
0.282946,0.019380,-0.006657,0.000485,-0.000092
0.290698,0.019380,-0.006981,0.000479,-0.000098
0.298450,0.019380,-0.007302,0.000472,-0.000103
0.306202,0.019380,-0.007616,0.000463,-0.000108
0.313953,0.019380,-0.007926,0.000454,-0.000112
0.321705,0.019380,-0.008228,0.000443,-0.000115
0.329457,0.019380,-0.008523,0.000431,-0.000117
0.337209,0.019380,-0.008810,0.000419,-0.000119
0.344961,0.019380,-0.009087,0.000405,-0.000119
0.352713,0.019380,-0.009356,0.000390,-0.000119
0.360465,0.019380,-0.009614,0.000375,-0.000118
0.368217,0.019380,-0.009862,0.000359,-0.000117
0.375969,0.019380,-0.010098,0.000342,-0.000115
0.383721,0.019380,-0.010323,0.000324,-0.000112
0.391473,0.019380,-0.010535,0.000306,-0.000108
0.399225,0.019380,-0.010734,0.000287,-0.000104
0.406977,0.019380,-0.010921,0.000267,-0.000099
0.414729,0.019380,-0.011093,0.000247,-0.000094
0.422481,0.019380,-0.011252,0.000226,-0.000088
0.430233,0.019380,-0.011397,0.000205,-0.000082
0.437984,0.019380,-0.011526,0.000183,-0.000075
0.445736,0.019380,-0.011641,0.000161,-0.000068
0.453488,0.019380,-0.011741,0.000139,-0.000061
0.461240,0.019380,-0.011826,0.000117,-0.000053
0.468992,0.019380,-0.011895,0.000094,-0.000045
0.476744,0.019380,-0.011948,0.000071,-0.000037
0.484496,0.019380,-0.011986,0.000047,-0.000028
0.492248,0.019380,-0.012008,0.000024,-0.000019
0.500000,0.019380,-0.012014,0.000001,-0.000010
0.507752,0.019380,-0.012004,-0.000023,-0.000001
0.515504,0.019380,-0.011978,-0.000046,0.000008
0.523256,0.019380,-0.011937,-0.000069,0.000017
0.531008,0.019380,-0.011880,-0.000093,0.000026
0.538760,0.019380,-0.011807,-0.000116,0.000035
0.546512,0.019380,-0.011719,-0.000139,0.000044
0.554264,0.019380,-0.011615,-0.000161,0.000053
0.562016,0.019380,-0.011496,-0.000184,0.000062
0.569767,0.019380,-0.011363,-0.000206,0.000071
0.577519,0.019380,-0.011215,-0.000227,0.000079
0.585271,0.019380,-0.011053,-0.000248,0.000087
0.593023,0.019380,-0.010877,-0.000269,0.000095
0.600775,0.019380,-0.010687,-0.000289,0.000103
0.608527,0.019380,-0.010485,-0.000309,0.000110
0.616279,0.019380,-0.010269,-0.000328,0.000117
0.624031,0.019380,-0.010042,-0.000347,0.000123
0.631783,0.019380,-0.009803,-0.000364,0.000129
0.639535,0.019380,-0.009552,-0.000381,0.000134
0.647287,0.019380,-0.009291,-0.000398,0.000139
0.655039,0.019380,-0.009020,-0.000413,0.000144
0.662791,0.019380,-0.008740,-0.000428,0.000148
0.670543,0.019380,-0.008451,-0.000441,0.000151
0.678295,0.019380,-0.008154,-0.000454,0.000153
0.686047,0.019380,-0.007850,-0.000466,0.000155
0.693798,0.019380,-0.007539,-0.000476,0.000157
0.701550,0.019380,-0.007223,-0.000486,0.000157
0.709302,0.019380,-0.006902,-0.000494,0.000157
0.717054,0.019380,-0.006576,-0.000502,0.000156
0.724806,0.019380,-0.006247,-0.000508,0.000155
0.732558,0.019380,-0.005916,-0.000513,0.000153
0.740310,0.019380,-0.005584,-0.000516,0.000150
0.748062,0.019380,-0.005251,-0.000519,0.000146
0.755814,0.019380,-0.004918,-0.000520,0.000142
0.763566,0.019380,-0.004587,-0.000519,0.000137
0.771318,0.019380,-0.004259,-0.000517,0.000131
0.779070,0.019380,-0.003934,-0.000514,0.000125
0.786822,0.019380,-0.003614,-0.000509,0.000117
0.794574,0.019380,-0.003299,-0.000503,0.000110
0.802326,0.019380,-0.002991,-0.000495,0.000101
0.810078,0.019380,-0.002691,-0.000486,0.000092
0.817829,0.019380,-0.002399,-0.000475,0.000083
0.825581,0.019380,-0.002118,-0.000463,0.000072
0.833333,0.019380,-0.001848,-0.000449,0.000062
0.841085,0.019380,-0.001590,-0.000434,0.000051
0.848837,0.019380,-0.001345,-0.000417,0.000040
0.856589,0.019380,-0.001114,-0.000398,0.000028
0.864341,0.019380,-0.000899,-0.000379,0.000016
0.872093,0.019380,-0.000700,-0.000357,0.000004
0.879845,0.019380,-0.000518,-0.000335,-0.000008
0.887597,0.019380,-0.000354,-0.000311,-0.000020
0.895349,0.019380,-0.000208,-0.000286,-0.000032
0.903101,0.019380,-0.000083,-0.000261,-0.000044
0.910853,0.019380,0.000024,-0.000234,-0.000055
0.918605,0.019380,0.000109,-0.000207,-0.000066
0.926357,0.019380,0.000175,-0.000180,-0.000076
0.934109,0.019380,0.000220,-0.000153,-0.000086
0.941860,0.019380,0.000246,-0.000127,-0.000094
0.949612,0.019380,0.000253,-0.000102,-0.000101
0.957364,0.019380,0.000242,-0.000079,-0.000107
0.965116,0.019380,0.000215,-0.000058,-0.000112
0.972868,0.019380,0.000174,-0.000041,-0.000115
0.980620,0.019380,0.000123,-0.000028,-0.000116
0.988372,0.019380,0.000066,-0.000020,-0.000115
0.996124,0.019380,0.000019,-0.000019,-0.000110
0.003876,0.027132,0.000018,-0.000031,0.000396
0.011628,0.027132,0.000059,-0.000045,0.000395
0.019380,0.027132,0.000104,-0.000044,0.000392
0.027132,0.027132,0.000143,-0.000028,0.000386
0.034884,0.027132,0.000170,-0.000002,0.000378
0.042636,0.027132,0.000182,0.000034,0.000369
0.050388,0.027132,0.000174,0.000076,0.000358
0.058140,0.027132,0.000144,0.000123,0.000345
0.065891,0.027132,0.000090,0.000173,0.000332
0.073643,0.027132,0.000011,0.000225,0.000317
0.081395,0.027132,-0.000095,0.000277,0.000301
0.089147,0.027132,-0.000227,0.000329,0.000285
0.096899,0.027132,-0.000385,0.000381,0.000268
0.104651,0.027132,-0.000569,0.000431,0.000251
0.112403,0.027132,-0.000779,0.000480,0.000233
0.120155,0.027132,-0.001013,0.000527,0.000215
0.127907,0.027132,-0.001271,0.000571,0.000197
0.135659,0.027132,-0.001552,0.000613,0.000179
0.143411,0.027132,-0.001854,0.000653,0.000161
0.151163,0.027132,-0.002176,0.000690,0.000143
0.158915,0.027132,-0.002517,0.000724,0.000125
0.166667,0.027132,-0.002875,0.000756,0.000108
0.174419,0.027132,-0.003249,0.000785,0.000091
0.182171,0.027132,-0.003638,0.000811,0.000074
0.189922,0.027132,-0.004040,0.000834,0.000058
0.197674,0.027132,-0.004453,0.000854,0.000043
0.205426,0.027132,-0.004876,0.000871,0.000028
0.213178,0.027132,-0.005309,0.000885,0.000014
0.220930,0.027132,-0.005748,0.000897,0.000001
0.228682,0.027132,-0.006194,0.000906,-0.000012
0.236434,0.027132,-0.006643,0.000912,-0.000024
0.244186,0.027132,-0.007096,0.000916,-0.000035
0.251938,0.027132,-0.007550,0.000916,-0.000046
0.259690,0.027132,-0.008005,0.000915,-0.000055
0.267442,0.027132,-0.008459,0.000911,-0.000064
0.275194,0.027132,-0.008910,0.000904,-0.000072
0.282946,0.027132,-0.009358,0.000895,-0.000079
0.290698,0.027132,-0.009802,0.000884,-0.000086
0.298450,0.027132,-0.010239,0.000871,-0.000091
0.306202,0.027132,-0.010669,0.000855,-0.000096
0.313953,0.027132,-0.011091,0.000838,-0.000100
0.321705,0.027132,-0.011504,0.000818,-0.000104
0.329457,0.027132,-0.011907,0.000797,-0.000106
0.337209,0.027132,-0.012299,0.000773,-0.000108
0.344961,0.027132,-0.012679,0.000748,-0.000109
0.352713,0.027132,-0.013045,0.000721,-0.000109
0.360465,0.027132,-0.013398,0.000693,-0.000109
0.368217,0.027132,-0.013736,0.000663,-0.000108
0.375969,0.027132,-0.014059,0.000632,-0.000106
0.383721,0.027132,-0.014365,0.000599,-0.000103
0.391473,0.027132,-0.014655,0.000565,-0.000100
0.399225,0.027132,-0.014928,0.000530,-0.000097
0.406977,0.027132,-0.015182,0.000493,-0.000092
0.414729,0.027132,-0.015418,0.000456,-0.000088
0.422481,0.027132,-0.015634,0.000418,-0.000083
0.430233,0.027132,-0.015831,0.000379,-0.000077
0.437984,0.027132,-0.016009,0.000339,-0.000071
0.445736,0.027132,-0.016165,0.000298,-0.000064
0.453488,0.027132,-0.016302,0.000257,-0.000057
0.461240,0.027132,-0.016417,0.000215,-0.000050
0.468992,0.027132,-0.016511,0.000173,-0.000043
0.476744,0.027132,-0.016584,0.000130,-0.000035
0.484496,0.027132,-0.016635,0.000087,-0.000027
0.492248,0.027132,-0.016664,0.000044,-0.000019
0.500000,0.027132,-0.016672,0.000001,-0.000010
0.507752,0.027132,-0.016659,-0.000042,-0.000002
0.515504,0.027132,-0.016623,-0.000085,0.000007
0.523256,0.027132,-0.016566,-0.000128,0.000015
0.531008,0.027132,-0.016488,-0.000171,0.000024
0.538760,0.027132,-0.016388,-0.000214,0.000032
0.546512,0.027132,-0.016267,-0.000256,0.000041
0.554264,0.027132,-0.016125,-0.000297,0.000049
0.562016,0.027132,-0.015963,-0.000338,0.000057
0.569767,0.027132,-0.015780,-0.000379,0.000066
0.577519,0.027132,-0.015578,-0.000419,0.000073
0.585271,0.027132,-0.015356,-0.000458,0.000081
0.593023,0.027132,-0.015115,-0.000496,0.000089
0.600775,0.027132,-0.014855,-0.000533,0.000096
0.608527,0.027132,-0.014578,-0.000569,0.000102
0.616279,0.027132,-0.014284,-0.000604,0.000109
0.624031,0.027132,-0.013973,-0.000638,0.000115
0.631783,0.027132,-0.013646,-0.000670,0.000120
0.639535,0.027132,-0.013303,-0.000701,0.000125
0.647287,0.027132,-0.012947,-0.000730,0.000130
0.655039,0.027132,-0.012576,-0.000758,0.000134
0.662791,0.027132,-0.012193,-0.000785,0.000137
0.670543,0.027132,-0.011798,-0.000810,0.000140
0.678295,0.027132,-0.011392,-0.000832,0.000143
0.686047,0.027132,-0.010976,-0.000853,0.000144
0.693798,0.027132,-0.010551,-0.000872,0.000146
0.701550,0.027132,-0.010118,-0.000889,0.000146
0.709302,0.027132,-0.009679,-0.000904,0.000146
0.717054,0.027132,-0.009234,-0.000917,0.000145
0.724806,0.027132,-0.008784,-0.000928,0.000144
0.732558,0.027132,-0.008331,-0.000936,0.000142
0.740310,0.027132,-0.007877,-0.000942,0.000139
0.748062,0.027132,-0.007421,-0.000945,0.000135
0.755814,0.027132,-0.006966,-0.000946,0.000131
0.763566,0.027132,-0.006513,-0.000944,0.000126
0.771318,0.027132,-0.006064,-0.000940,0.000121
0.779070,0.027132,-0.005619,-0.000933,0.000115
0.786822,0.027132,-0.005180,-0.000923,0.000108
0.794574,0.027132,-0.004748,-0.000910,0.000100
0.802326,0.027132,-0.004326,-0.000895,0.000092
0.810078,0.027132,-0.003914,-0.000877,0.000084
0.817829,0.027132,-0.003514,-0.000856,0.000075
0.825581,0.027132,-0.003127,-0.000832,0.000065
0.833333,0.027132,-0.002755,-0.000805,0.000055
0.841085,0.027132,-0.002399,-0.000776,0.000045
0.848837,0.027132,-0.002061,-0.000744,0.000034
0.856589,0.027132,-0.001742,-0.000709,0.000023
0.864341,0.027132,-0.001443,-0.000672,0.000012
0.872093,0.027132,-0.001166,-0.000632,0.000001
0.879845,0.027132,-0.000911,-0.000589,-0.000011
0.887597,0.027132,-0.000680,-0.000545,-0.000022
0.895349,0.027132,-0.000474,-0.000499,-0.000033
0.903101,0.027132,-0.000293,-0.000451,-0.000044
0.910853,0.027132,-0.000138,-0.000401,-0.000054
0.918605,0.027132,-0.000010,-0.000351,-0.000064
0.926357,0.027132,0.000091,-0.000301,-0.000074
0.934109,0.027132,0.000167,-0.000252,-0.000082
0.941860,0.027132,0.000216,-0.000203,-0.000090
0.949612,0.027132,0.000241,-0.000157,-0.000097
0.957364,0.027132,0.000242,-0.000115,-0.000102
0.965116,0.027132,0.000223,-0.000077,-0.000106
0.972868,0.027132,0.000185,-0.000046,-0.000109
0.980620,0.027132,0.000134,-0.000023,-0.000110
0.988372,0.027132,0.000073,-0.000009,-0.000109
0.996124,0.027132,0.000021,-0.000010,-0.000104
0.003876,0.034884,0.000018,-0.000047,0.000396
0.011628,0.034884,0.000056,-0.000065,0.000395
